Nel 2006, nella nazionale italiana c’erano 8 giocatori della Juve?;1
One last time' è cantata dalla famosa Nicki Minaj?;0
Il personaggio di Dory è presente nel cartone animato Doraemon?;0
Ghali è un rapper milanese?;1
In Sam e Cat le protagoniste sono due ballerine?;0
Prima di giocare nel Milan, Filippo Inzaghi militava nella squadra della Juventus?;1
Il vero nome di Favij è Leonardo Oste?;1
La vincitrice più giovane del premio Nobel aveva tredici anni?;1
I cani non riescono a vedere il verde e il rosso?;0
Dai papiri gli antichi egizi ottenevano la carta?;1
Il 'Full contact' è una disciplina della Boxe?;0
La quinta nota musicale è Sol?;1
Miley Cyrus è diventata celebre grazie ad una serie TV?;1
"Francesco Totti è soprannominato ""Pupone""?";1
Il padre di Thor è Zeus?;0
Le api comunicano, ronzando, per indicare il pericolo?;0
Il luogo con più laghi al mondo è la Finlandia?;1
I fratelli Muccino si chiamano Silvio e Francesco?;0
Il gallio è un elemento della tavola periodica?;1
L'Unicef si occupa di guerra?;0
Mercurio è il pianeta più vicino al Sole?;1
Il famoso elefante volante di Walt Disney si chiama Turbo?;0
Le prime foto panoramiche sono state scattate dalle mongolfiere?;1
Il padre di Homer ne 'I Simpson' si chiama Abe?;1
In una squadra di calcio ci sono 8 giocatori?;0
Tutte le stelle diventano un buco nero?;0
Il primo film di Walt Disney è stato Cenerentola?;0
La famiglia delle tartarughe è più antica dei dinosauri?;1
Disegno eseguito rapidamente si dice 'spruzzo'?;0
Una partita di pallanuoto è formata da 4 tempi?;1
Lo stato delle Maldive si trova nel continente Oceania?;0
Munch è l’autore de 'l’Urlo'?;1
I cavalli di Cenerentola erano in origine dei cani?;0
La luce emessa dal Sole impiega 8 secondi per raggiungere la Terra?;0
OGM sta per Organismi Genetici Migliorati?;0
Vita Nuova' è stato scritto da Dante?;1
La polvere da sparo è stata inventata in Cina?;1
La notte stellata' è stata dipinta da Van Gogh?;1
